Okonomi / Yuji Ramen	{'lat': 40.7125377, 'lng': -73.948781}
Untitled	{'lat': 40.7395846, 'lng': -74.00896759999999}
Buvette	{'lat': 40.7326242, 'lng': -74.0043225}
Kajitsu	{'lat': 40.7498632, 'lng': -73.97771469999999}
Monument Lane	{'lat': 40.7378016, 'lng': -74.0020412}
The Leopard at Des Artistes	{'lat': 40.77345569999999, 'lng': -73.978853}
St. Anselm	{'lat': 40.7142631, 'lng': -73.9560616}
Miss Lily’s Favourite Cakes	{'lat': 40.727946, 'lng': -74.001393}
Earl’s Beer & Cheese	{'lat': 40.787375, 'lng': -73.951633}
Legend Bar & Restaurant	{'lat': 40.7395867, 'lng': -73.9991958}
Maison Premiere	{'lat': 40.714269, 'lng': -73.961715}
Empellón	{'lat': 40.7341478, 'lng': -74.0030756}
The Dutch	{'lat': 40.726522, 'lng': -74.00213459999999}
Brushstroke	{'lat': 40.7166414, 'lng': -74.0089421}
Imperial No. Nine	{'lat': 40.7198274, 'lng': -74.00008389999999}
The Castello Plan	{'lat': 40.640384, 'lng': -73.966602}
The Highliner	{'lat': 40.74711119999999, 'lng': -74.0043906}
The Smile	{'lat': 40.7266349, 'lng': -73.9935508}
Danji	{'lat': 40.76403440000001, 'lng': -73.9868499}
Roberta’s	{'lat': 40.7050766, 'lng': -73.9335923}
Fishtag	{'lat': 40.783363, 'lng': -73.9794342}
Bell Book & Candle	{'lat': 40.7347337, 'lng': -74.00089419999999}
Ai Fiori	{'lat': 40.7502014, 'lng': -73.9837903}
Gentleman Farmer	{'lat': 40.7211119, 'lng': -73.99108}
The John Dory Oyster Bar	{'lat': 40.7458198, 'lng': -73.988434}
Lyon	{'lat': 40.71210629999999, 'lng': -74.21749860000001}
M. Wells	{'lat': 40.7485158, 'lng': -73.9422488}
Tortilleria Nixtamal	{'lat': 40.7459066, 'lng': -73.8593673}
Porsena	{'lat': 40.7287255, 'lng': -73.98940619999999}
Lincoln	{'lat': 40.77336669999999, 'lng': -73.9835466}
Red Rooster Harlem	{'lat': 40.8080223, 'lng': -73.944821}
Edi & the Wolf	{'lat': 40.7238208, 'lng': -73.9788238}
Kin Shop	{'lat': 40.7357024, 'lng': -73.9983775}
Seersucker	{'lat': 40.680596, 'lng': -73.99439149999999}
Bab Al Yemen	{'lat': 40.63448289999999, 'lng': -74.02299579999999}
Riverpark	{'lat': 40.73956330000001, 'lng': -73.97375}
Hung Ry	{'lat': 40.828589, 'lng': -73.9165807}
Annisa	{'lat': 40.7325755, 'lng': -74.00244289999999}
Bohemian	{'lat': 40.7264133, 'lng': -73.9923574}
Rubirosa	{'lat': 40.72275279999999, 'lng': -73.996233}
Takashi	{'lat': 40.7314041, 'lng': -74.0064551}
Millesime	{'lat': 40.74448599999999, 'lng': -73.98558}
Jeffrey’s Grocery	{'lat': 40.7339819, 'lng': -74.0013788}
The Fat Radish	{'lat': 40.715246, 'lng': -73.9918564}
Umi Nom	{'lat': 40.6905056, 'lng': -73.9600464}
Northern Spy Food Co.	{'lat': 40.72890669999999, 'lng': -73.98062259999999}
Beer Table	{'lat': 40.62630550000001, 'lng': -74.3068361}
The Chef’s Table at Brooklyn Fare	{'lat': 40.68864899999999, 'lng': -73.9858978}
Vandaag	{'lat': 40.72755739999999, 'lng': -73.98866389999999}
Il Matto	{'lat': 40.7225373, 'lng': -73.983879}
Rabbit in the Moon	{'lat': 40.91577629999999, 'lng': -73.7708006}
Mile End	{'lat': 40.6874553, 'lng': -73.9870655}
Fatty ’Cue	{'lat': 40.7109716, 'lng': -73.9648564}
Hecho En Dumbo	{'lat': 40.7268774, 'lng': -73.99196359999999}
The Lion	{'lat': 40.733814, 'lng': -73.9987421}
Balaboosta	{'lat': 40.72218549999999, 'lng': -73.9960662}
The Plaza Food Hall	{'lat': 40.7646084, 'lng': -73.9743392}
New for Fall	{'lat': 40.7420761, 'lng': -73.98538959999999}
Lina Frey	{'lat': 40.7224003, 'lng': -73.9875078}
Má PêChe	{'lat': 40.76280199999999, 'lng': -73.9755103}
Luke’s Lobster	{'lat': 40.70348299999999, 'lng': -73.9941382}
Pulino’s Bar And Pizzeria	{'lat': 40.7240971, 'lng': -73.9930672}
Kaz an Nou	{'lat': 40.6811496, 'lng': -73.974192}
Torrisi Italian Specialties	{'lat': 40.7230958, 'lng': -73.9956581}
This Little Piggy Had Roast Beef	{'lat': 40.72842310000001, 'lng': -73.9849752}
The Crosby Bar	{'lat': 40.7230823, 'lng': -73.99735319999999}
Tanoreen	{'lat': 40.63082560000001, 'lng': -74.0278464}
Faustina	{'lat': 40.72793160000001, 'lng': -73.9907857}
Pies ’N’ Thighs	{'lat': 40.711183, 'lng': -73.9613664}
The Mark Restaurant	{'lat': 40.775269, 'lng': -73.9633901}
K! Pizzacone	{'lat': 40.7473468, 'lng': -73.985}
Mari Vanna	{'lat': 40.7388749, 'lng': -73.988511}
Abc Kitchen	{'lat': 40.73775819999999, 'lng': -73.989625}
Casa Lever	{'lat': 40.7595244, 'lng': -73.9730768}
La Sirène	{'lat': 40.72454330000001, 'lng': -74.0056666}
Recette	{'lat': 40.73740900000001, 'lng': -74.006613}
Village Tart	{'lat': 40.72111719999999, 'lng': -73.9967273}
Roman’s	{'lat': 40.68960690000001, 'lng': -73.96949889999999}
Le Caprice	{'lat': 40.765301, 'lng': -73.972256}
A Voce Columbus	{'lat': 40.767899, 'lng': -73.98293900000002}
Corsino	{'lat': 40.7388645, 'lng': -74.0057454}
Colicchio & Sons	{'lat': 40.74322430000001, 'lng': -74.0077639}
The Standard Grill	{'lat': 40.7406769, 'lng': -74.00787629999999}
Maialino	{'lat': 40.7385232, 'lng': -73.9857366}
The Breslin	{'lat': 40.7455679, 'lng': -73.9880891}
Le Relais De Venise L’Entrecôte	{'lat': 40.7576914, 'lng': -73.9718188}
Piccola Cucina	{'lat': 40.7250354, 'lng': -74.0032482}
Fort Defiance	{'lat': 40.676611, 'lng': -74.013543}
Tipsy Parson	{'lat': 40.7442597, 'lng': -74.0026699}
Joseph Leonard	{'lat': 40.7335794, 'lng': -74.0016967}
Sushi Uo	{'lat': 40.7192821, 'lng': -73.9854819}
Bark Hot Dogs	{'lat': 40.6807911, 'lng': -73.975644}
The Vanderbilt	{'lat': 40.679566, 'lng': -73.968332}
Aureole	{'lat': 40.755633, 'lng': -73.985258}
Quinto Quarto	{'lat': 40.72911000000001, 'lng': -74.00344919999999}
Prime Meats	{'lat': 40.67717309999999, 'lng': -73.9981789}
Saraghina	{'lat': 40.683621, 'lng': -73.93535969999999}
Sho Shaun Hergatt	{'lat': 40.7059308, 'lng': -74.01176819999999}
The Brooklyn Star	{'lat': 40.7145897, 'lng': -73.9496277}
Warren 77	{'lat': 40.7150801, 'lng': -74.0103305}
Gus And Gabriel	{'lat': 40.783312, 'lng': -73.979466}
Locanda Verde	{'lat': 40.71992329999999, 'lng': -74.0099233}
Marea	{'lat': 40.7674054, 'lng': -73.98105679999999}
Hotel Griffou	{'lat': 40.73342600000001, 'lng': -73.9970032}
Belcourt	{'lat': 40.7262067, 'lng': -73.9897159}
Dbgb	{'lat': 40.7243801, 'lng': -73.9921432}
Seasonal	{'lat': 40.76231999999999, 'lng': -73.976755}
Harbour	{'lat': 40.93236529999999, 'lng': -73.7595252}
Sorella	{'lat': 40.71874529999999, 'lng': -73.9909638}
Minetta Tavern	{'lat': 40.7299922, 'lng': -74.00062009999999}
Armani / Ristorante	{'lat': 40.7618891, 'lng': -73.974178}
La Fonda Del Sol	{'lat': 40.753412, 'lng': -73.976601}
Gottino And Wilfie & Nell	{'lat': 40.7340539, 'lng': -74.0031284}
